plb,county,qid,aggregation.level,count
0.01,Franklin,1,blk,10
0.01,Franklin,1,bg,4
0.01,Franklin,1,tr,0
0.01,Franklin,2,blk,13
0.01,Franklin,2,bg,3
0.01,Franklin,2,tr,0
0.01,Franklin,3,blk,11
0.01,Franklin,3,bg,0
0.01,Franklin,3,tr,0
0.1,Franklin,1,blk,26
0.1,Franklin,1,bg,17
0.1,Franklin,1,tr,6
0.1,Franklin,2,blk,33
0.1,Franklin,2,bg,9
0.1,Franklin,2,tr,5
0.1,Franklin,3,blk,24
0.1,Franklin,3,bg,5
0.1,Franklin,3,tr,1
1,Franklin,1,blk,156
1,Franklin,1,bg,119
1,Franklin,1,tr,48
1,Franklin,2,blk,161
1,Franklin,2,bg,63
1,Franklin,2,tr,31
1,Franklin,3,blk,131
1,Franklin,3,bg,16
1,Franklin,3,tr,6
10,Franklin,1,blk,350
10,Franklin,1,bg,387
10,Franklin,1,tr,158
10,Franklin,2,blk,321
10,Franklin,2,bg,243
10,Franklin,2,tr,98
10,Franklin,3,blk,263
10,Franklin,3,bg,63
10,Franklin,3,tr,13
100,Franklin,1,blk,836
100,Franklin,1,bg,1200
100,Franklin,1,tr,513
100,Franklin,2,blk,690
100,Franklin,2,bg,737
100,Franklin,2,tr,315
100,Franklin,3,blk,491
100,Franklin,3,bg,136
100,Franklin,3,tr,21
0.01,Guernsey,1,blk,0
0.01,Guernsey,1,bg,1
0.01,Guernsey,1,tr,0
0.01,Guernsey,2,blk,0
0.01,Guernsey,2,bg,0
0.01,Guernsey,2,tr,0
0.01,Guernsey,3,blk,1
0.01,Guernsey,3,bg,0
0.01,Guernsey,3,tr,0
0.1,Guernsey,1,blk,2
0.1,Guernsey,1,bg,0
0.1,Guernsey,1,tr,0
0.1,Guernsey,2,blk,2
0.1,Guernsey,2,bg,0
0.1,Guernsey,2,tr,0
0.1,Guernsey,3,blk,1
0.1,Guernsey,3,bg,0
0.1,Guernsey,3,tr,0
1,Guernsey,1,blk,5
1,Guernsey,1,bg,5
1,Guernsey,1,tr,1
1,Guernsey,2,blk,5
1,Guernsey,2,bg,5
1,Guernsey,2,tr,1
1,Guernsey,3,blk,3
1,Guernsey,3,bg,2
1,Guernsey,3,tr,0
10,Guernsey,1,blk,21
10,Guernsey,1,bg,13
10,Guernsey,1,tr,8
10,Guernsey,2,blk,18
10,Guernsey,2,bg,14
10,Guernsey,2,tr,8
10,Guernsey,3,blk,6
10,Guernsey,3,bg,5
10,Guernsey,3,tr,0
100,Guernsey,1,blk,33
100,Guernsey,1,bg,43
100,Guernsey,1,tr,14
100,Guernsey,2,blk,35
100,Guernsey,2,bg,35
100,Guernsey,2,tr,6
100,Guernsey,3,blk,16
100,Guernsey,3,bg,18
100,Guernsey,3,tr,0
