plb,county,qid,aggregation.level,pct.unit
0.01,Franklin,1,blk,0
0.01,Franklin,1,bg,0.5
0.01,Franklin,1,tr,0
0.01,Franklin,2,blk,0.1
0.01,Franklin,2,bg,0.3
0.01,Franklin,2,tr,0
0.01,Franklin,3,blk,0
0.01,Franklin,3,bg,0
0.01,Franklin,3,tr,0
0.1,Franklin,1,blk,0.1
0.1,Franklin,1,bg,1.9
0.1,Franklin,1,tr,2.1
0.1,Franklin,2,blk,0.1
0.1,Franklin,2,bg,1
0.1,Franklin,2,tr,1.8
0.1,Franklin,3,blk,0.1
0.1,Franklin,3,bg,0.6
0.1,Franklin,3,tr,0
1,Franklin,1,blk,0.7
1,Franklin,1,bg,12.4
1,Franklin,1,tr,15.5
1,Franklin,2,blk,0.7
1,Franklin,2,bg,6.5
1,Franklin,2,tr,10.6
1,Franklin,3,blk,0.6
1,Franklin,3,bg,1.8
1,Franklin,3,tr,0
10,Franklin,1,blk,1.5
10,Franklin,1,bg,34.3
10,Franklin,1,tr,45.4
10,Franklin,2,blk,1.4
10,Franklin,2,bg,24.2
10,Franklin,2,tr,28.2
10,Franklin,3,blk,1.1
10,Franklin,3,bg,7
10,Franklin,3,tr,0
100,Franklin,1,blk,3.5
100,Franklin,1,bg,74.6
100,Franklin,1,tr,84.2
100,Franklin,2,blk,2.9
100,Franklin,2,bg,58.3
100,Franklin,2,tr,68.7
100,Franklin,3,blk,2.1
100,Franklin,3,bg,14.1
100,Franklin,3,tr,0
0.01,Guernsey,1,blk,0
0.01,Guernsey,1,bg,2.9
0.01,Guernsey,1,tr,0
0.01,Guernsey,2,blk,0
0.01,Guernsey,2,bg,0
0.01,Guernsey,2,tr,0
0.01,Guernsey,3,blk,0
0.01,Guernsey,3,bg,0
0.01,Guernsey,3,tr,0
0.1,Guernsey,1,blk,0.1
0.1,Guernsey,1,bg,0
0.1,Guernsey,1,tr,0
0.1,Guernsey,2,blk,0.1
0.1,Guernsey,2,bg,0
0.1,Guernsey,2,tr,0
0.1,Guernsey,3,blk,0
0.1,Guernsey,3,bg,0
0.1,Guernsey,3,tr,0
1,Guernsey,1,blk,0.1
1,Guernsey,1,bg,14.3
1,Guernsey,1,tr,10
1,Guernsey,2,blk,0.1
1,Guernsey,2,bg,14.3
1,Guernsey,2,tr,10
1,Guernsey,3,blk,0.1
1,Guernsey,3,bg,5.7
1,Guernsey,3,tr,0
10,Guernsey,1,blk,0.6
10,Guernsey,1,bg,31.4
10,Guernsey,1,tr,60
10,Guernsey,2,blk,0.5
10,Guernsey,2,bg,37.1
10,Guernsey,2,tr,70
10,Guernsey,3,blk,0.2
10,Guernsey,3,bg,14.3
10,Guernsey,3,tr,0
100,Guernsey,1,blk,0.9
100,Guernsey,1,bg,80
100,Guernsey,1,tr,70
100,Guernsey,2,blk,0.9
100,Guernsey,2,bg,65.7
100,Guernsey,2,tr,30
100,Guernsey,3,blk,0.4
100,Guernsey,3,bg,45.7
100,Guernsey,3,tr,0
